mpg,displacement,horsepower,weight,acceleration,cyl,origin,model_year
17,50,17,3504,10,8,1,1970
7,53,35,3693,8,8,1,1970
17,51,29,3436,3,8,1,1970
9,48,29,3433,10,8,1,1970
13,47,24,3449,2,8,1,1970
7,59,42,4341,1,8,1,1970
5,61,47,4354,94,8,1,1970
5,60,46,4312,93,8,1,1970
5,62,48,4425,1,8,1,1970
7,57,40,3850,93,8,1,1970
7,56,37,3563,1,8,1,1970
5,52,34,3609,92,8,1,1970
7,58,29,3761,95,8,1,1970
5,62,48,3086,1,8,1,1970
49,10,91,2372,34,4,3,1970
38,36,91,2833,39,6,1,1970
17,37,93,2774,39,6,1,1970
34,38,81,2587,44,6,1,1970
63,80,84,2130,30,4,3,1970
58,80,50,1835,79,4,2,1970
53,7,83,2672,58,4,2,1970
49,5,86,2430,30,4,2,1970
53,3,91,2375,58,4,2,1970
58,16,10,2234,13,4,2,1970
34,37,86,2648,34,6,1,1970
1,55,46,4615,25,8,1,1970
1,50,43,4376,34,8,1,1970
2,51,45,4382,20,8,1,1970
129,48,41,4732,67,8,1,1970
63,80,84,2130,30,4,3,1971
68,22,86,2264,39,4,1,1971
53,10,91,2228,25,4,3,1971
53,82,1,2046,71,4,1,1971
22,41,2,2634,17,6,1,1971
9,39,5,3439,39,6,1,1971
13,42,2,3329,39,6,1,1971
22,42,84,3302,39,6,1,1971
17,41,2,3288,39,6,1,1971
5,53,35,4209,10,8,1,1971
5,58,38,4464,8,8,1,1971
5,54,31,4154,20,8,1,1971
5,51,29,4096,17,8,1,1971
3,56,39,4955,8,8,1,1971
4,58,37,4746,10,8,1,1971
4,58,38,5140,10,8,1,1971
17,43,8,2962,20,6,1,1971
38,22,69,2408,71,4,1,1971
22,42,2,3282,34,6,1,1971
17,42,84,3139,30,6,1,1971
42,17,82,2220,25,4,1,1971
68,13,86,2123,25,4,2,1971
76,69,67,2074,74,4,2,1971
76,75,72,2065,30,4,2,1971
80,65,62,1773,71,4,3,1971
105,66,66,1613,63,4,3,1971
63,80,57,1834,71,4,2,1971
58,78,67,1955,79,4,1,1971
49,10,91,2278,39,4,3,1972
53,81,76,2126,53,4,1,1972
42,80,55,2254,88,4,2,1972
28,22,86,2408,74,4,1,1972
34,17,82,2226,48,4,1,1972
4,53,35,4274,10,8,1,1972
5,58,38,4385,10,8,1,1972
7,51,29,4135,20,8,1,1972
5,54,31,4129,17,8,1,1972
13,48,29,3672,8,8,1,1972
2,59,44,4633,3,8,1,1972
4,53,32,4502,20,8,1,1972
3,53,34,4456,20,8,1,1972
4,58,40,4422,13,8,1,1972
7,48,29,3892,13,8,1,1972
4,50,17,4098,25,8,1,1972
4,47,24,4294,44,8,1,1972
5,51,29,4077,25,8,1,1972
17,16,9,2933,30,4,2,1972
38,16,72,2511,63,4,2,1972
34,15,83,2979,74,4,2,1972
58,79,66,2189,63,4,2,1972
38,17,82,2395,44,4,1,1972
68,80,88,2288,53,4,3,1972
42,15,93,2506,30,4,3,1972
68,82,76,2164,34,4,1,1972
63,80,84,2100,48,4,3,1972
4,53,38,4100,17,8,1,1973
5,48,29,3672,8,8,1,1973
4,53,26,3988,17,8,1,1973
5,47,21,4042,30,8,1,1973
7,51,29,3777,13,8,1,1973
3,59,42,4952,8,8,1,1973
4,58,29,4464,10,8,1,1973
4,54,33,4363,17,8,1,1973
5,51,29,4237,30,8,1,1973
4,60,46,4735,3,8,1,1973
3,62,48,4951,3,8,1,1973
4,55,38,3821,3,8,1,1973
17,39,5,3121,48,6,1,1973
9,42,2,3278,63,6,1,1973
17,41,2,2945,44,6,1,1973
17,42,84,3021,48,6,1,1973
42,36,91,2904,44,6,1,1973
58,80,50,1950,81,4,2,1973
2,58,29,4997,25,8,1,1973
3,58,36,4906,13,8,1,1973
4,55,37,4654,17,8,1,1973
3,53,39,4499,13,8,1,1973
17,41,2,2789,34,6,1,1973
28,80,84,2279,71,4,3,1973
34,22,69,2401,74,4,1,1973
38,6,90,2379,48,4,3,1973
22,17,81,2310,67,4,1,1973
34,28,6,2472,25,6,1,1973
58,82,86,2265,39,4,2,1973
7,53,26,4082,17,8,1,1973
9,58,49,4278,96,8,1,1973
72,63,52,1867,74,4,2,1973
49,13,71,2158,39,4,2,1973
28,11,87,2582,25,4,2,1973
22,16,9,2868,39,4,2,1973
7,51,29,3399,3,8,1,1973
49,16,8,2660,25,4,2,1973
28,29,14,2807,20,6,3,1973
2,53,39,3664,3,8,1,1973
28,36,91,3102,48,6,1,1974
34,38,1,2875,53,6,1,1974
22,41,2,2901,44,6,1,1974
7,42,2,3336,53,6,1,1974
80,69,64,1950,71,4,3,1974
58,17,76,2451,48,4,1,1974
86,65,62,1836,81,4,3,1974
53,22,71,2542,53,4,1,1974
9,42,2,3781,53,6,1,1974
9,43,8,3632,63,6,1,1974
17,39,5,3613,48,6,1,1974
9,47,24,4141,25,8,1,1974
4,53,29,4699,30,8,1,1974
5,51,29,4457,20,8,1,1974
5,47,24,4638,44,8,1,1974
5,48,29,4257,39,8,1,1974
72,82,79,2219,48,4,2,1974
58,69,64,1963,39,4,2,1974
58,80,74,2300,30,4,2,1974
80,67,53,1649,48,4,3,1974
86,72,58,2003,71,4,3,1974
68,77,71,2125,30,4,1,1974
49,77,71,2108,39,4,2,1974
58,13,71,2246,25,4,2,1974
49,15,93,2489,34,4,3,1974
58,6,89,2391,39,4,3,1974
80,69,64,2000,44,4,2,1974
22,39,91,3264,44,6,1,1975
17,42,5,3459,44,6,1,1975
7,42,69,3432,81,6,1,1975
7,42,69,3158,74,6,1,1975
9,58,37,4668,8,8,1,1975
7,53,26,4440,25,8,1,1975
9,51,29,4498,30,8,1,1975
5,54,27,4657,20,8,1,1975
13,40,8,3907,81,6,1,1975
9,42,5,3897,67,6,1,1975
7,43,8,3730,71,6,1,1975
17,39,91,3785,71,6,1,1975
34,40,8,3039,34,6,1,1975
28,45,8,3221,20,8,1,1975
4,47,16,3169,10,8,1,1975
72,80,71,2171,44,4,3,1975
42,22,79,2639,53,4,1,1975
28,41,2,2914,44,6,1,1975
42,22,74,2592,67,4,1,1975
49,20,92,2702,20,4,3,1975
53,77,68,2223,48,4,2,1975
49,14,93,2545,53,4,3,1975
17,32,93,2984,30,6,1,1975
72,77,67,1937,25,4,2,1975
22,41,86,3211,53,6,1,1975
42,12,91,2694,34,4,2,1975
42,15,84,2957,53,4,2,1975
38,16,94,2945,30,4,2,1975
53,16,11,2671,20,4,2,1975
94,78,54,1795,58,4,3,1975
68,5,82,2464,39,4,2,1976
53,13,77,2220,52,4,2,1976
53,22,88,2572,33,4,1,1976
58,82,75,2255,60,4,1,1976
63,2,79,2202,37,4,2,1976
14,49,24,4215,17,8,1,1976
9,51,29,4190,17,8,1,1976
8,48,13,3962,24,8,1,1976
6,54,30,4215,15,8,1,1976
38,39,2,3233,38,6,1,1976
38,42,5,3353,30,6,1,1976
49,38,77,3012,59,6,1,1976
41,41,86,3085,59,6,1,1976
72,73,53,2035,87,4,1,1976
52,82,57,2164,86,4,1,1976
72,77,67,1937,27,4,2,1976
94,78,54,1795,57,4,3,1976
28,39,2,3651,60,6,1,1976
17,42,74,3574,81,6,1,1976
20,42,8,3645,46,6,1,1976
14,43,91,3193,61,6,1,1976
73,80,68,1825,12,4,2,1976
86,73,67,1990,53,4,3,1976
68,80,71,2155,47,4,3,1976
60,22,69,2565,21,4,1,1976
28,18,3,3150,41,4,2,1976
4,51,29,3940,18,8,1,1976
22,15,84,3270,85,4,2,1976
22,29,7,2930,39,6,3,1976
11,31,13,3820,50,6,2,1976
11,53,39,4380,11,8,1,1976
4,53,26,4055,10,8,1,1976
4,47,17,3870,34,8,1,1976
4,51,29,3755,25,8,1,1976
82,82,65,2045,67,4,3,1977
76,8,76,2155,32,4,1,1977
108,69,56,1825,68,4,2,1977
56,17,92,2300,39,4,1,1977
95,73,67,1945,51,4,3,1977
14,49,26,3880,13,8,1,1977
13,44,8,4060,71,8,1,1977
8,51,26,4140,22,8,1,1977
7,47,17,4295,33,8,1,1977
14,42,8,3520,47,6,1,1977
31,40,5,3425,52,6,1,1977
22,39,2,3630,60,6,1,1977
20,42,94,3525,71,6,1,1977
9,58,39,4220,4,8,1,1977
8,53,37,4165,7,8,1,1977
8,58,40,4325,12,8,1,1977
9,54,28,4335,30,8,1,1977
72,80,74,1940,30,4,2,1977
52,27,84,2740,44,4,1,1977
58,80,71,2265,65,4,3,1977
56,22,85,2755,42,4,1,1977
77,82,60,2051,53,4,1,1977
95,82,79,2075,43,4,1,1977
76,80,64,1985,47,4,3,1977
77,80,74,2190,26,4,2,1977
38,26,93,2815,30,6,3,1977
36,16,8,2600,15,4,2,1977
123,77,51,1985,82,4,2,1978
109,82,63,1800,29,4,1,1978
92,68,53,1985,73,4,3,1978
119,73,67,2070,68,4,3,1978
109,78,57,1800,47,4,3,1978
27,44,8,3365,39,8,1,1978
25,51,24,3735,18,8,1,1978
29,47,23,3570,15,8,1,1978
24,40,5,3535,72,6,1,1978
31,38,91,3155,65,6,1,1978
29,38,81,2965,42,6,1,1978
54,22,84,2720,38,4,1,1978
31,39,2,3430,55,6,1,1978
25,41,86,3210,55,6,1,1978
32,40,5,3380,42,6,1,1978
33,38,81,3070,50,6,1,1978
21,39,8,3620,69,6,1,1978
18,43,13,3410,35,6,1,1978
24,49,26,3425,18,8,1,1978
16,40,35,3445,19,6,1,1978
18,47,23,3205,5,8,1,1978
14,51,24,4080,22,8,1,1978
76,82,65,2155,48,4,1,1978
66,20,91,2560,27,4,3,1978
64,14,93,2300,31,4,3,1978
79,4,71,2230,30,4,1,1978
35,20,91,2515,32,4,3,1978
43,29,5,2745,50,4,1,1978
47,27,81,2855,59,4,1,1978
48,14,93,2405,33,4,3,1978
13,30,15,3140,21,6,2,1978
37,16,11,2795,41,4,2,1978
10,30,19,3410,42,6,2,1978
82,76,68,1990,33,4,2,1978
73,82,65,2135,49,4,3,1978
36,40,11,3245,38,6,1,1979
26,38,81,2990,65,6,1,1979
39,22,84,2890,56,4,1,1979
29,41,86,3265,65,6,1,1979
32,39,8,3360,49,6,1,1979
13,49,17,3840,38,8,1,1979
15,47,16,3725,19,8,1,1979
11,54,22,3955,18,8,1,1979
19,51,20,3830,36,8,1,1979
12,53,32,4360,33,8,1,1979
8,54,25,4054,28,8,1,1979
24,46,15,3605,34,8,1,1979
20,55,29,3940,17,8,1,1979
85,76,68,1925,25,4,2,1979
99,74,62,1975,36,4,3,1979
107,82,76,1915,29,4,1,1979
65,16,76,2670,34,4,1,1979
42,53,15,3900,57,8,1,1979
64,23,68,3190,91,4,2,1979
48,44,86,3420,87,8,1,1979
100,4,67,2200,18,4,1,1979
103,4,67,2150,33,4,1,1979
84,73,62,2020,72,4,3,1979
113,78,66,2130,31,4,2,1979
70,27,86,2670,44,4,1,1979
71,33,11,2595,6,6,1,1979
62,33,11,2700,16,6,1,1979
95,27,86,2556,18,4,1,1979
122,82,72,2144,31,4,2,1980
116,76,57,1968,70,4,3,1980
87,82,67,2120,39,4,1,1980
112,74,62,2019,47,4,3,1980
68,27,86,2678,48,4,1,1980
59,22,84,2870,64,4,1,1980
51,27,86,3003,77,4,1,1980
23,39,86,3381,69,6,1,1980
101,80,74,2188,42,4,2,1980
74,20,86,2711,39,4,3,1980
81,15,71,2542,58,4,3,1980
111,14,88,2434,34,4,3,1980
88,6,71,2265,36,4,3,1980
128,74,62,2110,62,4,3,1980
67,29,5,2800,29,4,1,1980
120,73,62,2110,72,4,3,1980
126,77,51,2085,83,4,2,1980
124,77,51,2335,89,4,2,1980
76,26,64,3250,84,4,2,1980
127,78,64,1850,23,4,3,1980
121,73,1,1835,56,4,2,1980
97,80,64,2145,63,4,3,1980
74,76,59,1845,37,4,2,1980
91,31,18,2910,7,6,3,1980
105,17,84,2500,35,4,2,1980
45,22,1,2905,28,4,1,1980
90,5,69,2290,53,4,3,1980
64,21,80,2490,41,4,1,1981
61,27,80,2635,47,4,1,1981
57,29,88,2620,29,4,1,1981
44,33,8,2725,14,6,1,1981
76,21,80,2385,16,4,1,1981
118,69,56,1755,52,4,3,1981
117,74,61,1875,47,4,1,1981
106,71,57,1760,45,4,3,1981
89,80,64,2065,61,4,3,1981
111,73,62,1975,73,4,3,1981
114,76,59,2050,56,4,3,1981
99,78,65,1985,44,4,3,1981
104,4,60,2215,33,4,1,1981
102,82,62,2045,46,4,1,1981
75,82,62,2380,80,4,1,1981
94,4,70,2190,27,4,2,1981
103,1,1,2320,42,4,2,1981
96,5,71,2210,29,4,3,1981
90,6,71,2350,51,4,3,1981
93,14,2,2615,32,4,3,1981
83,15,70,2635,66,4,3,1981
69,23,76,3230,78,4,2,1981
78,25,72,3160,75,6,2,1981
55,31,12,2900,14,6,3,1981
50,26,13,2930,23,6,3,1981
40,40,8,3415,42,6,1,1981
61,53,5,3725,71,8,1,1981
29,38,84,3060,54,6,1,1981
15,39,81,3465,49,6,1,1981
68,9,84,2605,75,4,1,1982
63,9,84,2640,68,4,1,1982
98,9,84,2395,63,4,1,1982
80,9,81,2575,46,4,1,1982
72,21,80,2525,44,4,1,1982
63,27,86,2735,63,4,1,1982
49,22,88,2865,47,4,1,1982
42,27,1,3035,79,4,1,1982
108,4,70,1980,37,4,2,1982
111,78,65,2025,65,4,3,1982
80,78,65,1970,59,4,3,1982
115,4,60,2125,31,4,1,1982
108,82,67,2125,56,4,1,1982
108,15,84,2160,30,4,3,1982
108,5,71,2205,30,4,3,1982
98,6,67,2245,52,4,3,1982
115,78,64,1965,34,4,3,1982
86,78,64,1965,41,4,3,1982
115,78,64,1995,46,4,3,1982
53,34,8,2945,47,6,1,1982
115,45,81,3015,53,6,1,1982
58,29,88,2585,30,4,1,1982
38,41,9,2835,31,6,1,1982
86,24,92,2665,24,4,3,1982
108,21,80,2370,17,4,1,1982
63,27,86,2950,56,4,1,1982
63,22,82,2790,40,4,1,1982
125,80,53,2130,90,4,2,1982
86,21,80,2295,9,4,1,1982
68,15,75,2625,68,4,1,1982
80,14,78,2720,73,4,1,1982
